Marca temporal,¿Cuál es tu rango de edad? ,  ¿Cuál es tu nivel de estudios más alto completado?  ,¿En qué tipo de zona vives actualmente?  ,  ¿Posees un teléfono inteligente (Smartphone)?  ,"  ¿Con qué frecuencia utilizas aplicaciones en tu teléfono (redes sociales, mensajería, etc.)?  ","  En una escala del 1 al 5, ¿Qué tan cómodo(a) te sientes aprendiendo a usar una nueva aplicación? (1=Muy incómodo, 5=Muy cómodo)  ",  ¿Cuál es tu principal medio para enterarte de iniciativas o eventos en tu comunidad?  ,  ¿Alguna vez has participado como voluntario(a) en alguna causa social?  ,  ¿Cuál sería tu principal motivación para ser voluntario(a)?  ,  ¿Cuál es la principal barrera que te impide ser voluntario(a) o hacerlo más seguido? (Elige la más importante)  ,"  Si decidieras ser voluntario(a), ¿Cuántas horas a la semana podrías dedicar?  ","  En una escala del 1 al 5, ¿qué tan importante es para ti la flexibilidad de horarios al momento de elegir una actividad de voluntariado? (1=Nada importante, 5=Extremadamente importante)  ",  ¿Qué tipo de tareas te interesaría más realizar en una cocina comunitaria? (Elige hasta dos)  ,"  En una escala del 1 al 5, ¿qué tan importante es para ti saber que los recursos (dinero y donaciones) de una organización se usan de forma transparente?  ",Ver Oportunidades Claras: Poder ver en la app una lista de tareas disponibles en la cocina comunitaria con descripciones claras.  ,Inscripción Fácil: Poder registrarte como voluntario y apuntarte a una tarea con solo un par de clics.  ,"Horarios Flexibles: Poder filtrar tareas que se ajusten a tu disponibilidad de tiempo (ej. ""solo sábados por la mañana"").  ","Perfil de Habilidades: Poder crear un perfil indicando tus habilidades para que la app te sugiera tareas donde serías de más ayuda (ej. si sabes de contabilidad, te sugiere ayudar con las finanzas).  ",Transparencia Financiera: Tener acceso a reportes simples que muestren cómo se gasta el dinero de la cocina en alimentos. ,Recordatorios y Comunicación Centralizada: Recibir recordatorios automáticos de tus tareas y comunicarte con los coordinadores a través de la misma app.  ,"Reconocimiento de tu Impacto: Recibir mensajes y estadísticas que muestren el impacto de tu ayuda (ej. ""Con tu participación esta semana, se alimentaron a 50 personas"").  ",Ver el Inventario de Alimentos: Poder ver qué alimentos se necesitan para decidir qué donar.,"Seguimiento de Donaciones: Si donas dinero o alimentos, poder ver en la app cuándo se recibieron y cómo se utilizaron.  ",Sistema de Gamificación: Ganar puntos o insignias por las horas de voluntariado completadas.  ,"Plataforma Unificada: En general, ¿qué tanto te motivaría una app que organice todo el proceso de voluntariado (encontrar, inscribirse, participar y ver el impacto) en un solo lugar? "
15/9/2025 19:57:31,18-25 años,Bachillerato / Preparatoria,No participo en ninguna,Sí,Varias veces al día,4,"Redes Sociales (Facebook, Instagram)","No, pero me gustaría","Contribuir a una causa en la que creo, Sentirme útil y parte de la comunidad",No saber por dónde empezar o cómo encontrar oportunidades,"No podría comprometerme semanalmente, pero sí para eventos específicos",5,"Cocinar y preparar alimentos, Limpieza y mantenimiento",4,4,4,5,5,4,5,5,4,4,4,4
15/9/2025 21:50:06,18-25 años,Licenciatura o superior,Urbana,Sí,Varias veces al día,5,"Redes Sociales (Facebook, Instagram)","No, pero me gustaría","Sentirme útil y parte de la comunidad, Aprender nuevas habilidades",Falta de tiempo / Horarios inflexibles,4-6 horas,4,"Tareas logísticas (compras, organizar inventario), Tareas administrativas (contabilidad, comunicación)",3,3,3,3,3,3,3,3,2,3,3,3
22/9/2025 19:20:02,18-25 años,Bachillerato / Preparatoria,Suburbana,Sí,Varias veces al día,4,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","Sí, una o dos veces",Aprender nuevas habilidades,No saber por dónde empezar o cómo encontrar oportunidades,1-3 horas,3,"Tareas logísticas (compras, organizar inventario)",5,3,4,5,2,4,4,3,3,3,3,3
22/9/2025 20:09:58,18-25 años,Licenciatura o superior,Suburbana,Sí,Una vez al día,5,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","Sí, una o dos veces",Conocer gente nueva,Falta de información clara sobre las actividades,"No podría comprometerme semanalmente, pero sí para eventos específicos",4,"Tareas logísticas (compras, organizar inventario)",3,3,3,3,3,3,5,5,5,5,4,5
23/9/2025 23:45:25,18-25 años,Bachillerato / Preparatoria,Urbana (Ciudad),Sí,Varias veces al día,4,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","No, pero me gustaría",Aprender nuevas habilidades,No saber por dónde empezar o cómo encontrar oportunidades,"No podría comprometerme semanalmente, pero sí para eventos específicos",5,"Tareas logísticas (compras, organizar inventario)",5,5,4,5,5,4,5,4,5,5,4,5
23/9/2025 23:53:21,18-25 años,Licenciatura o superior,Urbana (Ciudad),Sí,Varias veces al día,3,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","No, pero me gustaría",Contribuir a una causa en la que creo,Falta de tiempo / Horarios inflexibles,1-3 horas,5,Servir la comida e interactuar con la gente,5,4,4,5,5,5,4,3,5,5,4,5
24/9/2025 5:11:17,36-50 años,Bachillerato / Preparatoria,Urbana (Ciudad),Sí,Varias veces al día,5,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","Sí, una o dos veces",Contribuir a una causa en la que creo,No saber por dónde empezar o cómo encontrar oportunidades,1-3 horas,5,Servir la comida e interactuar con la gente,5,5,5,5,5,5,5,5,5,5,5,5
24/9/2025 8:11:14,18-25 años,Licenciatura o superior,Urbana (Ciudad),Sí,Varias veces al día,4,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","Sí, una o dos veces",Contribuir a una causa en la que creo,Falta de tiempo / Horarios inflexibles,1-3 horas,4,"Tareas administrativas (contabilidad, comunicación), Servir la comida e interactuar con la gente, Limpieza y mantenimiento",5,4,4,5,4,4,4,5,5,4,4,4
24/9/2025 8:28:36,26-35 años,Licenciatura o superior,Urbana (Ciudad),Sí,Varias veces al día,4,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","No, pero me gustaría",Aprender nuevas habilidades,"Falta de tiempo / Horarios inflexibles, No saber por dónde empezar o cómo encontrar oportunidades","No podría comprometerme semanalmente, pero sí para eventos específicos",5,"Tareas administrativas (contabilidad, comunicación), Servir la comida e interactuar con la gente",5,4,5,5,5,5,4,3,4,4,3,5
24/9/2025 8:34:53,26-35 años,Licenciatura o superior,Urbana (Ciudad),Sí,Varias veces al día,5,"Redes Sociales (Facebook, WhatsApp, Instagram etc.)","No, pero me gustaría",Aprender nuevas habilidades,Falta de tiempo / Horarios inflexibles,1-3 horas,5,Cocinar y preparar alimentos,5,5,5,5,5,5,5,5,5,5,5,5
